# Expected readings, exported from opentorah — the oracle for the Java port.
#
# opentorah c2a9bfa14783e12802e411de076b33d8b39aaa6b  (Apache 2.0; see opentorah/LICENSE.md)
# generated 2026-09-03 over Jewish years 5780-5860, both locations
#
# date<TAB>situation<TAB>customs<TAB>kind<TAB>value
#
# date is Gregorian yyyy-mm-dd — deliberately, so no consumer has to
# translate month numbering: opentorah counts Jewish months from Tishrei
# and this library counts them from Nisan. It is the first date on which
# the situation occurs. The situation names everything that determines
# the reading — location, day of week, the week's parsha, and what else
# applies — because readings are a function of the combination, and
# combinations are where the bugs are. Customs are those reading the same
# thing; ALL is every custom. Spans are book:fromCh:fromV:toCh:toV, torah
# aliyot prefixed by number, '-' means nothing is read.
2019-10-05	EY|shabbos|Vayeilech|-|afternoon	ALL	torah	1:Deuteronomy:32:1:32:3 2:Deuteronomy:32:4:32:6 3:Deuteronomy:32:7:32:12
2019-10-05	EY|shabbos|Vayeilech|-|morning	ALL	maftir	Deuteronomy:31:28:31:30
2019-10-05	EY|shabbos|Vayeilech|-|morning	ALL	torah	1:Deuteronomy:31:1:31:3 2:Deuteronomy:31:4:31:6 3:Deuteronomy:31:7:31:9 4:Deuteronomy:31:10:31:13 5:Deuteronomy:31:14:31:19 6:Deuteronomy:31:20:31:24 7:Deuteronomy:31:25:31:30
2019-10-05	EY|shabbos|Vayeilech|-|morning	Agadir+Algeria+Algiers+Bavlim+Chabad+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Romania+Sefard+Toshbim	haftarah	Hosea:14:2:14:10 Micah:7:18:7:20
2019-10-05	EY|shabbos|Vayeilech|-|morning	Ashkenaz+ChayeyOdom+Frankfurt+Hagra+Lita	haftarah	Hosea:14:2:14:10 Joel:2:15:2:27
2019-10-05	EY|shabbos|Vayeilech|-|morning	Baladi+Shami+Teiman	haftarah	Hosea:14:2:14:10
2019-10-05	EY|shabbos|Vayeilech|-|morning	Italki+Poznan	haftarah	Isaiah:55:6:56:8
2019-10-05	chul|shabbos|Vayeilech|-|afternoon	ALL	haftarah	-
2019-10-05	chul|shabbos|Vayeilech|-|afternoon	ALL	maftir	-
2019-10-05	chul|shabbos|Vayeilech|-|afternoon	ALL	torah	1:Deuteronomy:32:1:32:3 2:Deuteronomy:32:4:32:6 3:Deuteronomy:32:7:32:12
2019-10-05	chul|shabbos|Vayeilech|-|morning	ALL	maftir	Deuteronomy:31:28:31:30
2019-10-05	chul|shabbos|Vayeilech|-|morning	ALL	torah	1:Deuteronomy:31:1:31:3 2:Deuteronomy:31:4:31:6 3:Deuteronomy:31:7:31:9 4:Deuteronomy:31:10:31:13 5:Deuteronomy:31:14:31:19 6:Deuteronomy:31:20:31:24 7:Deuteronomy:31:25:31:30
